,Rank,Team Name,Score,Penalty
0,1, DreamWorldFinal (World final),7,1604
1,2," KUET_Blaziken (Parvej,Mukim,Liad)",6,641
2,3," KUET_Bit_by_bit ((Eleus,Emon,Mehedy))",6,931
3,4," KUET_FALCONS (SABBIR,SADI,ZOBAYER)",4,470
4,5, KUET_Behemoth (ShorifulMishuTashin),4,503
5,6," KUET_BreakDown (Likhon,Fizz,Shakil)",4,846
6,7, BrehamPie (Opi),3,120
7,8, KUET_upperMoon (AMIT FASYAL NILOY),2,312
8,9, who_knows_ (KUET_SIFAT),1,9
9,10," TheArviSquad (saleque,rifat,sifat)",1,19
10,11, Amit215 (Amit),1,38
