,Rank,Team Name,Score,Penalty
0,1, bracu_crows (BRACU Crows),9,928
1,2," KUETScatterBrain (Mukim,Sabbir,Parvej)",9,1159
2,3, TamimEhsan (Tamim),8,743
3,4," Code_monkeys_ (Eleus, Zobayer, Sadi)",8,776
4,5, aritra741 (2017331073),8,1034
5,6," KuetEffervescent (Opi, Arnob, Emon)",7,572
6,7, mustafiz05 (mustafiz(12th)),7,890
7,8, Alve2019331050 (Alve),7,1082
8,9," KUET_DevilFruits (Raufun, Asif, Tanjim)",6,292
9,10, _0_Kicu_Na_0_ (kicu na),6,383
10,11, Sarwar82 (2020331031_Sarwar),6,418
11,12," EniGmA_CUET (Rafid, Adid ,Nahin)",6,533
12,13, Nafis2003174 (RUET CSE 20),6,670
13,14," KUET_ByteBlitz (Liad,Shoriful,Tashin)",6,772
14,15," Kuet_CypherForce (Mehedy, Emon, Azin)",6,792
15,16," KUET_BUGMAN (ZAHID, MAHIN, NILOY)",5,161
16,17, RakibJoy,5,243
17,18, __MyDoom (Malik Abdul Aziz),5,334
18,19," lalon (Chanachur,Dipro,Mahi)",5,341
19,20, Matrix33 (Mehedi),5,363
20,21," AUST_07 (Sajid,Remon,Apu)",5,434
21,22," TheArviSquad (Saleque,Rifat,Sifat)",5,505
22,23," KUET_JaJabor (Sharif,Raihan,Galib)",5,536
23,24, hhhhhhrrrrrr (Tuhin Cse-11808036),5,572
24,25," DreamsOfsuccess (mahedi,sajjat,azizur)",5,625
25,26," JUST_Limitless (Niloy, Nahid, Masum)",4,70
26,27," Loop_Breakers (Rafi,Faruk,Amit)",4,76
27,28," KUET_One_nd_Zero (Saima,Sabnaj,Subah)",4,89
28,29, shahidulmiraj (miraj),4,96
29,30, HabibaJahan (2020331087_HABIBA),4,104
30,31," KUET_etc (Faysal,Hafiz,Khalil)",4,113
31,32, mhkhancou (Mehedi),4,121
32,33, Mestu_Paul (CSE_11),4,125
33,34, MrinalKanti (Shuvo),4,127
34,35, Mehraj_mi2 (mithu(2k20)),4,138
35,36, Patrons,4,143
36,37, Raihan14 (Md Raihanul Islam),4,147
37,38, Forgettable_Trio (USA),4,158
38,39, KUET_Mentos (ShornaliSumaSamiha),4,172
39,40, JNU_BIGBRAINS (ASFI-SIFAT-ANTAR),4,176
40,41, Akash_Ahmed (Akash),4,176
41,42, prodipdatta7 (Prodip),4,189
42,43," BSMRSTU_Pushback (Tushar,Imran,Bisso)",4,195
43,44, Jakariya_jaki (jaki),4,203
44,45," KUET_zlatan (farid,naquib,arif)",4,210
45,46, Shafin07 (KUET_Safin),4,249
46,47," BSMRSTU_KeyBlade (Fuad, Masud, Arnab)",4,289
47,48, Ahsanul_Anam (CSE_12),4,299
48,49, huma_yun (CSE_12_CoU),4,303
49,50, MOHIR,4,304
50,51, KUET_Noob_Coders (Sifat Rifat Shible20),4,367
51,52, BSMSTU_ThreeKids,4,387
52,53, SHAHARIAR_ISLAM (SAKIB),4,727
53,54, 1804126 (Hamim),4,978
54,55, Incognito_coders (Incognito),3,157
55,56, InsaneBillah (Billah),3,176
56,58, 9xZER0 (faisal),3,279
57,60, IftxApurbaxMahdi,3,402
58,61, Apukanu15 (Antu),3,422
59,62, sayem_hosen18 (Sayem),3,446
60,63, moinsayem (Sayem),3,756
61,64, RF_Faisal (Rayhan Ferdous),2,12
62,65, Tajbir_ahmed (Tajbir),2,70
63,66," MIST_eaglesEye (Tamal,Arik,Rahad)",2,78
64,68, mahdi_hasnat (Mahdi),1,3
65,70, SharifMinhazul (KUET_Emon),1,5
66,71, rashed_raihan (shuvo),1,27
67,72, tarek200 (Tarek),1,139
68,73, Nahid112376 (Hodor),1,167
69,74, ryad (Ryad 2007008),1,349
70,75, Mijanur_rmn,0,0
71,76, Suman_Mandol (suman mandol),0,0
72,77, maruf_21_2103156 (maruf_2103156),0,0
73,78, Farha_jaman (Farha),0,0
